tid,title,Header,concept1,concept2,Proposed _relation_c1,Proposed_objects_c1,Proposed_relation_c2,Proposed_objects_c2
t0010,Functions of the skin,Protection against:,"Chemicals, particles, desiccation",Stratum corneum,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Protection against:,Ultraviolet radiation,Melanin produced by melanocytes and transferred to keratinocytesStratum corneum hyperproliferation,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Protection against:,"Antigens, haptens","Langerhans' cells, lymphocytes, mononuclear phagocytes, mast cells, dermal dendritic cells",Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Protection against:,Microorganisms,"Stratum corneum, Langerhans' cells, mononuclear phagocytes, mast cells, dermal dendritic cells",Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Maintenance of fluid balance,"Prevents loss of water, electrolytes and macromolecules",Stratum corneum,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Shock absorber,"Strong, elastic and compliant covering",Dermis and subcutaneous fat,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Shock absorber,Sensation,Specialised nerve endings mediating pain and withdrawalItch leading to scratch and removal of a parasite,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Shock absorber,"MetabolismDetoxification of xenobiotics, retinoid metabolism, isomerisation of urocanic acid",Predominantly keratinocytes,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Shock absorber,Temperature regulation,Eccrine sweat glands and blood vessels,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Shock absorber,"Protection, and fine manipulation of small objects",Nails,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
